KODE_PENYUSUTAN,NAMA_PENYUSUTAN,CRAETED_DATE,UPDATE_DATE
Z000,No depreciation,Thu Jun 08 2023 11:36:03 GMT+0700 (Western Indonesia Time),
ZLNR,Straight Line Method Commercial,Thu Jun 08 2023 11:36:03 GMT+0700 (Western Indonesia Time),
