NO_ASET,SUB_ASET,NO_ITEM,NJOP,NO_PBB,TGL_PBB,CREATED_BY,CREATED_ON,MODIFIED_BY,MODIFIED_ON,PERIODE,TAHUN,KETERANGAN_PBB
120509000783,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,132,Mon Dec 11 2023 10:06:44 GMT+0700 (Western Indonesia Time),6,2023,
120502003143,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,155,Mon Dec 11 2023 10:07:04 GMT+0700 (Western Indonesia Time),6,2023,
120502003142,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,155,Mon Dec 11 2023 10:14:12 GMT+0700 (Western Indonesia Time),6,2023,
120504003217,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,256,Mon Dec 11 2023 11:28:12 GMT+0700 (Western Indonesia Time),6,2023,
120504000475,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,256,Mon Dec 11 2023 11:28:58 GMT+0700 (Western Indonesia Time),6,2023,
120504000695,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,256,Mon Dec 11 2023 11:29:45 GMT+0700 (Western Indonesia Time),6,2023,
120504000787,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,256,Mon Dec 11 2023 11:30:19 GMT+0700 (Western Indonesia Time),6,2023,
120504003268,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,256,Thu Dec 14 2023 18:05:15 GMT+0700 (Western Indonesia Time),6,2023,
120504000784,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,256,Mon Dec 11 2023 11:31:45 GMT+0700 (Western Indonesia Time),6,2023,
120504000792,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,256,Mon Dec 11 2023 11:32:16 GMT+0700 (Western Indonesia Time),6,2023,
120504003274,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,256,Thu Dec 14 2023 18:01:17 GMT+0700 (Western Indonesia Time),6,2023,
120504003265,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,256,Thu Dec 14 2023 18:24:44 GMT+0700 (Western Indonesia Time),6,2023,
120507003391,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,140,Mon Dec 11 2023 12:17:11 GMT+0700 (Western Indonesia Time),6,2023,
121004000008,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,140,Mon Dec 11 2023 15:27:29 GMT+0700 (Western Indonesia Time),6,2023,
120509000132,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,221,Mon Dec 11 2023 18:25:51 GMT+0700 (Western Indonesia Time),6,2023,
120508000519,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,356,Mon Dec 11 2023 19:06:26 GMT+0700 (Western Indonesia Time),6,2023,
120502003730,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,323,Tue Dec 12 2023 13:02:50 GMT+0700 (Western Indonesia Time),6,2023,
120502003725,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,323,Tue Dec 12 2023 13:03:32 GMT+0700 (Western Indonesia Time),6,2023,
120502003734,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,323,Tue Dec 12 2023 13:04:11 GMT+0700 (Western Indonesia Time),6,2023,
120509000872,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,323,Tue Dec 12 2023 15:51:33 GMT+0700 (Western Indonesia Time),6,2023,
120509000862,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,323,Wed Dec 13 2023 18:31:08 GMT+0700 (Western Indonesia Time),6,2023,
120504001727,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,252,Wed Dec 13 2023 08:37:39 GMT+0700 (Western Indonesia Time),6,2023,
120505002725,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,323,Tue Dec 12 2023 15:53:44 GMT+0700 (Western Indonesia Time),6,2023,
120505002734,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,323,Tue Dec 12 2023 15:54:49 GMT+0700 (Western Indonesia Time),6,2023,
120505002724,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,323,Tue Dec 12 2023 15:56:15 GMT+0700 (Western Indonesia Time),6,2023,
120505002722,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,323,Tue Dec 12 2023 15:57:10 GMT+0700 (Western Indonesia Time),6,2023,
120505002407,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,155,Tue Dec 12 2023 15:57:35 GMT+0700 (Western Indonesia Time),6,2023,
120505002716,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,323,Tue Dec 12 2023 15:58:48 GMT+0700 (Western Indonesia Time),6,2023,
120505002720,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,323,Tue Dec 12 2023 15:59:38 GMT+0700 (Western Indonesia Time),6,2023,
120505002751,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,323,Tue Dec 12 2023 16:00:32 GMT+0700 (Western Indonesia Time),6,2023,
120502002535,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,356,Tue Dec 12 2023 16:05:42 GMT+0700 (Western Indonesia Time),6,2023,
