NO_ASET,SUB_ASET,NILAI_SUSUT,AKUMULASI_PENYUSUTAN,NILAI_PEROLEHAN,NILAI_BUKU,NILAI_RESIDU,PERIODE,TAHUN,CREATED_BY,CREATED_ON,PENURUNAN_AKUMULASI_NILAI,PEMULIHAN_AKUMULASI_NILAI,AKUMULASI_PENYUSUTAN_NEW,PENYUSUTAN_SD_BLN_BERJALAN
120502000001,0,0,96,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:15 GMT+0700 (Western Indonesia Time),,,,
120502000002,0,0,96,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:15 GMT+0700 (Western Indonesia Time),,,,
120502000003,0,0,96,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:15 GMT+0700 (Western Indonesia Time),,,,
120502000004,0,0,96,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:15 GMT+0700 (Western Indonesia Time),,,,
120502000005,0,0,96,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:15 GMT+0700 (Western Indonesia Time),,,,
120502000006,0,0,96,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:15 GMT+0700 (Western Indonesia Time),,,,
120502000007,0,0,96,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:15 GMT+0700 (Western Indonesia Time),,,,
120502000008,0,0,96,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:15 GMT+0700 (Western Indonesia Time),,,,
120502000009,0,0,96,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:15 GMT+0700 (Western Indonesia Time),,,,
120502000010,0,0,96,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:15 GMT+0700 (Western Indonesia Time),,,,
120502000011,0,0,96,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:15 GMT+0700 (Western Indonesia Time),,,,
120502000012,0,0,96,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:15 GMT+0700 (Western Indonesia Time),,,,
120502000013,0,0,96,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:15 GMT+0700 (Western Indonesia Time),,,,
120502000014,0,0,96,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:15 GMT+0700 (Western Indonesia Time),,,,
120502000015,0,0,96,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:15 GMT+0700 (Western Indonesia Time),,,,
120502000016,0,0,96,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:15 GMT+0700 (Western Indonesia Time),,,,
120502000017,0,0,96,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:15 GMT+0700 (Western Indonesia Time),,,,
120502000018,0,0,96,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:15 GMT+0700 (Western Indonesia Time),,,,
120502000019,0,0,96,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:15 GMT+0700 (Western Indonesia Time),,,,
120502000020,0,0,96,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:15 GMT+0700 (Western Indonesia Time),,,,
120502000021,0,0,96,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:15 GMT+0700 (Western Indonesia Time),,,,
120502000022,0,0,96,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:15 GMT+0700 (Western Indonesia Time),,,,
120502000023,0,0,96,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:15 GMT+0700 (Western Indonesia Time),,,,
120502000024,0,0,96,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:15 GMT+0700 (Western Indonesia Time),,,,
120502000025,0,0,96,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:15 GMT+0700 (Western Indonesia Time),,,,
120502000026,0,0,96,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:15 GMT+0700 (Western Indonesia Time),,,,
120502000027,0,0,96,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:15 GMT+0700 (Western Indonesia Time),,,,
120502000028,0,0,96,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:15 GMT+0700 (Western Indonesia Time),,,,
120502000029,0,0,96,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:15 GMT+0700 (Western Indonesia Time),,,,
120502000030,0,0,96,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:15 GMT+0700 (Western Indonesia Time),,,,
120502000031,0,0,96,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:15 GMT+0700 (Western Indonesia Time),,,,
120502000032,0,0,96,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:15 GMT+0700 (Western Indonesia Time),,,,
120502000033,0,0,96,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:15 GMT+0700 (Western Indonesia Time),,,,
120502000034,0,0,96,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:15 GMT+0700 (Western Indonesia Time),,,,
120502000035,0,0,96,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:15 GMT+0700 (Western Indonesia Time),,,,
