SUB_ASET,PATH_SURAT,FLAG,CREATED_ON,JENIS_FOTO,NO_ITEM,NO_ASET
0,storage/upload/120501000550/0/2/111520231751306554a2b250bba.jpg,Y,Wed Nov 15 2023 17:51:30 GMT+0700 (Western Indonesia Time),2,1,120501000550
0,storage/upload/120506002090/0/3/111520231819536554a95926a83.pdf,Y,Wed Nov 15 2023 18:22:24 GMT+0700 (Western Indonesia Time),3,1,120506002090
0,storage/upload/120506000426/0/2/111520231825116554aa977734f.jpg,Y,Wed Nov 15 2023 18:25:11 GMT+0700 (Western Indonesia Time),2,1,120506000426
0,storage/upload/120508000403/0/2/111520231827206554ab18e856d_medium_thumbnail_.jpeg,Y,Wed Nov 15 2023 18:27:58 GMT+0700 (Western Indonesia Time),2,1,120508000403
0,storage/upload/120506002132/0/3/111520231826046554aacc07ac8.pdf,Y,Wed Nov 15 2023 18:28:08 GMT+0700 (Western Indonesia Time),3,1,120506002132
0,storage/upload/120506003146/0/2/111420231023416552e83d7523a.jpg,Y,Tue Nov 14 2023 10:23:41 GMT+0700 (Western Indonesia Time),2,1,120506003146
0,storage/upload/120604000336/0/2/111420231023486552e844390ce.jpg,Y,Tue Nov 14 2023 10:23:48 GMT+0700 (Western Indonesia Time),2,1,120604000336
0,storage/upload/120502004101/0/2/111420231023546552e84a13d00.jpg,Y,Tue Nov 14 2023 10:23:54 GMT+0700 (Western Indonesia Time),2,1,120502004101
0,storage/upload/120504002904/0/1/111420231024006552e8508ca14.jpg,Y,Tue Nov 14 2023 10:24:00 GMT+0700 (Western Indonesia Time),1,1,120504002904
0,storage/upload/120502004102/0/1/111420231024106552e85a5b466.jpg,Y,Tue Nov 14 2023 10:24:10 GMT+0700 (Western Indonesia Time),1,1,120502004102
0,storage/upload/120604000337/0/2/111420231024116552e85b1a0ed.jpg,Y,Tue Nov 14 2023 10:24:11 GMT+0700 (Western Indonesia Time),2,1,120604000337
0,storage/upload/120502003603/0/1/11152023083711655420c7a35c5_medium_thumbnail_.jpg,Y,Wed Nov 15 2023 08:37:14 GMT+0700 (Western Indonesia Time),1,1,120502003603
0,storage/upload/120505001376/0/2/11152023083730655420daa32dc.jpg,Y,Wed Nov 15 2023 08:37:30 GMT+0700 (Western Indonesia Time),2,1,120505001376
0,storage/upload/120502001928/0/2/111520230838326554211803e01.jpg,Y,Wed Nov 15 2023 08:38:32 GMT+0700 (Western Indonesia Time),2,1,120502001928
0,storage/upload/120509000307/0/2/111520230839136554214131654.jpg,Y,Wed Nov 15 2023 08:39:13 GMT+0700 (Western Indonesia Time),2,1,120509000307
0,storage/upload/120502003601/0/1/111520230840286554218c9f9b2_medium_thumbnail_.jpg,Y,Wed Nov 15 2023 08:40:31 GMT+0700 (Western Indonesia Time),1,1,120502003601
0,storage/upload/120502003602/0/1/111520230843526554225811f20_medium_thumbnail_.jpg,Y,Wed Nov 15 2023 08:43:56 GMT+0700 (Western Indonesia Time),1,1,120502003602
0,storage/upload/120502003608/0/1/11152023084516655422ac11c14_medium_thumbnail_.jpg,Y,Wed Nov 15 2023 08:45:19 GMT+0700 (Western Indonesia Time),1,1,120502003608
0,storage/upload/120504002539/0/1/11152023084559655422d77aebd_medium_thumbnail_.jpg,Y,Wed Nov 15 2023 08:46:31 GMT+0700 (Western Indonesia Time),1,1,120504002539
0,storage/upload/120502003604/0/1/11152023084631655422f759b05_medium_thumbnail_.jpg,Y,Wed Nov 15 2023 08:46:36 GMT+0700 (Western Indonesia Time),1,1,120502003604
0,storage/upload/120504001447/0/2/111520230847566554234c9de6c.jpg,Y,Wed Nov 15 2023 08:47:56 GMT+0700 (Western Indonesia Time),2,1,120504001447
0,storage/upload/120506002133/0/3/111520231831476554ac23db6ea.pdf,Y,Wed Nov 15 2023 18:33:18 GMT+0700 (Western Indonesia Time),3,1,120506002133
0,storage/upload/120508000402/0/3/111520231838306554adb6a8b6c.pdf,Y,Wed Nov 15 2023 18:39:02 GMT+0700 (Western Indonesia Time),3,1,120508000402
0,storage/upload/120509000514/0/3/111520231838196554adaba837d.pdf,Y,Wed Nov 15 2023 18:39:55 GMT+0700 (Western Indonesia Time),3,1,120509000514
0,storage/upload/120505001648/0/3/111520231843396554aeeb27909.pdf,Y,Wed Nov 15 2023 18:45:16 GMT+0700 (Western Indonesia Time),3,1,120505001648
0,storage/upload/120508000401/0/3/111520231846216554af8dab41f.pdf,Y,Wed Nov 15 2023 18:46:56 GMT+0700 (Western Indonesia Time),3,1,120508000401
0,storage/upload/120506003059/0/1/111720231022176556dc69ac09c.jpg,Y,Fri Nov 17 2023 10:22:17 GMT+0700 (Western Indonesia Time),1,1,120506003059
0,storage/upload/120506003056/0/1/111720231025066556dd12a1cb1.jpg,N,Fri Nov 17 2023 10:25:06 GMT+0700 (Western Indonesia Time),1,1,120506003056
0,storage/upload/120505003386/0/1/111720231027176556dd951c66f.jpg,Y,Fri Nov 17 2023 10:27:17 GMT+0700 (Western Indonesia Time),1,1,120505003386
0,storage/upload/120507001370/0/2/111720231027306556dda22c044.jpg,Y,Fri Nov 17 2023 10:27:30 GMT+0700 (Western Indonesia Time),2,1,120507001370
0,storage/upload/120506003057/0/1/111720231027546556ddba6052c.jpg,Y,Fri Nov 17 2023 10:27:54 GMT+0700 (Western Indonesia Time),1,1,120506003057
0,storage/upload/120507001343/0/2/111720231029426556de268bd84.jpg,Y,Fri Nov 17 2023 10:29:42 GMT+0700 (Western Indonesia Time),2,1,120507001343
0,storage/upload/120507001382/0/2/111720231032066556deb6e5164.jpg,Y,Fri Nov 17 2023 10:32:06 GMT+0700 (Western Indonesia Time),2,1,120507001382
0,storage/upload/120506003058/0/1/111720231033456556df19043b4.jpg,Y,Fri Nov 17 2023 10:33:45 GMT+0700 (Western Indonesia Time),1,1,120506003058
0,storage/upload/120506003055/0/1/111720231035206556df7800744.jpg,Y,Fri Nov 17 2023 10:35:20 GMT+0700 (Western Indonesia Time),1,1,120506003055
0,storage/upload/120506003054/0/1/111720231036336556dfc19d8a3.jpg,Y,Fri Nov 17 2023 10:36:33 GMT+0700 (Western Indonesia Time),1,1,120506003054
0,storage/upload/120507001373/0/2/111720231037366556e00071630.jpg,Y,Fri Nov 17 2023 10:37:36 GMT+0700 (Western Indonesia Time),2,1,120507001373
0,storage/upload/120506003053/0/1/111720231037376556e0010f0be.jpg,Y,Fri Nov 17 2023 10:37:37 GMT+0700 (Western Indonesia Time),1,1,120506003053
0,storage/upload/120505003389/0/1/111720231037516556e00f6d32a.jpg,Y,Fri Nov 17 2023 10:37:51 GMT+0700 (Western Indonesia Time),1,1,120505003389
0,storage/upload/120507001380/0/2/111720231039226556e06a18ad0.jpg,Y,Fri Nov 17 2023 10:39:22 GMT+0700 (Western Indonesia Time),2,1,120507001380
0,storage/upload/120506003052/0/1/111720231039526556e0883e04f.jpg,Y,Fri Nov 17 2023 10:39:52 GMT+0700 (Western Indonesia Time),1,1,120506003052
0,storage/upload/120506003051/0/1/111720231041216556e0e1ca862.jpg,Y,Fri Nov 17 2023 10:41:21 GMT+0700 (Western Indonesia Time),1,1,120506003051
0,storage/upload/120506003050/0/1/111720231042156556e1175ea73.jpg,Y,Fri Nov 17 2023 10:42:15 GMT+0700 (Western Indonesia Time),1,1,120506003050
0,storage/upload/120505000857/0/2/111720231042546556e13e6d4f1.jpg,Y,Fri Nov 17 2023 10:42:54 GMT+0700 (Western Indonesia Time),2,1,120505000857
0,storage/upload/120505000262/0/2/111720231044396556e1a7529aa.jpg,Y,Fri Nov 17 2023 10:44:39 GMT+0700 (Western Indonesia Time),2,1,120505000262
0,storage/upload/120506003064/0/1/111720231046286556e21497f82.jpg,Y,Fri Nov 17 2023 10:46:28 GMT+0700 (Western Indonesia Time),1,1,120506003064
0,storage/upload/120506003065/0/1/111720231048306556e28e89b02.jpg,Y,Fri Nov 17 2023 10:48:30 GMT+0700 (Western Indonesia Time),1,1,120506003065
0,storage/upload/120502004098/0/2/111420231017156552e6bb04e38.jpg,Y,Tue Nov 14 2023 10:17:15 GMT+0700 (Western Indonesia Time),2,1,120502004098
0,storage/upload/120506004245/0/2/111420231017436552e6d78e305.jpg,Y,Tue Nov 14 2023 10:17:43 GMT+0700 (Western Indonesia Time),2,1,120506004245
0,storage/upload/120604000319/0/2/111420231017466552e6da4dd0a.jpg,Y,Tue Nov 14 2023 10:17:46 GMT+0700 (Western Indonesia Time),2,1,120604000319
0,storage/upload/120504002271/0/1/111420231017516552e6dfb7dff.jpg,Y,Tue Nov 14 2023 10:17:51 GMT+0700 (Western Indonesia Time),1,1,120504002271
