NAMA_CABANG,CRAETED_DATE,UPDATE_DATE,KODE_REGIONAL,KODE_TERMINAL,KODE_SAP,PROFIT_CENTER,FLAG_APPROVE,ID_CABANG
IKT Semayang,Sat Aug 31 2024 09:27:48 GMT+0700 (Western Indonesia Time),,041,7,4107,41015,2,4107
ILCS HEAD OFFICE,Sun Sep 01 2024 09:27:48 GMT+0700 (Western Indonesia Time),,071,0,7101,71001,2,7101
ILCS Medan,Mon Sep 02 2024 09:27:48 GMT+0700 (Western Indonesia Time),,071,2,7102,71001,2,7102
ILCS Surabaya,Tue Sep 03 2024 09:27:48 GMT+0700 (Western Indonesia Time),,071,3,7103,71001,2,7103
ILCS Makassar,Wed Sep 04 2024 09:27:48 GMT+0700 (Western Indonesia Time),,071,4,7104,71001,2,7104
ILCS Jakarta,Thu Sep 05 2024 09:27:48 GMT+0700 (Western Indonesia Time),,071,5,7105,71001,2,7105
PMLI HEAD OFFICE,Fri Sep 06 2024 09:27:48 GMT+0700 (Western Indonesia Time),,072,0,7201,72001,2,7201
PMLI ACC,Sat Sep 07 2024 09:27:48 GMT+0700 (Western Indonesia Time),,072,2,72010,72002,2,7202
PMLI Learning,Sun Sep 08 2024 09:27:48 GMT+0700 (Western Indonesia Time),,072,3,72010,72003,2,7203
PMLI Residence & MIC,Mon Sep 09 2024 09:27:48 GMT+0700 (Western Indonesia Time),,072,4,72010,72004,2,7204
PMLI KM,Tue Sep 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,072,5,72010,72005,2,7205
PMLI FE QHSSE,Wed Sep 11 2024 09:27:48 GMT+0700 (Western Indonesia Time),,072,6,72010,72006,2,7206
SPSL HEAD OFFICE,Thu Sep 12 2024 09:27:48 GMT+0700 (Western Indonesia Time),,06,0,6001,60101,2,6001
MAKASSAR NEW PORT,Wed Jul 17 2024 17:18:01 GMT+0700 (Western Indonesia Time),,67,30,25020,20527,1,454
KANTOR PUSAT PT SPTP,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,03,0,3001,30101,2,3001
SPTP TPK Banjarmasin,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,03,2,3002,30102,2,3002
SPTP TPK Semarang,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,03,3,3003,30103,2,3003
SPTP TPK Perawang,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,03,4,3004,30104,2,3004
SPTP TPK Tarakan,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,03,5,3005,30105,2,3005
SPTP TPK New Makassar,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,03,6,3006,30106,2,3006
SPTP TPK Kupang,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,03,7,3007,30107,2,3007
SPTP TPK Pantoloan,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,03,8,3008,30108,2,3008
SPTP TPK Bitung,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,03,9,3009,30109,2,3009
SPTP TPK Kendari,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,03,10,3010,30110,2,3010
SPTP TPK Bagendang Bumiharjo,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,03,11,3011,30111,2,3011
SPTP TPK Ambon,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,03,12,3012,30112,2,3012
SPTP TPK Ternate,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,03,13,3013,30113,2,3013
SPTP TPK Jayapura,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,03,14,3014,30114,2,3014
SPTP TPK Sorong,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,03,15,3015,30115,2,3015
SPTP TPK Merauke,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,03,16,3016,30116,2,3016
SPTP TPK Nilam,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,03,17,3017,30117,2,3017
SPTP Teluk Lamong,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,03,19,3001,30119,2,3019
SPTP TPK Belawan,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,03,21,3001,30121,2,3021
SPTP TPK Nabire,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,03,22,3001,30122,2,3022
SPTP TPK Bagendang,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,03,81,3001,30181,2,3081
SPTP TPK 1 New Makassar,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,03,86,3001,30186,2,3086
SPTP TPK Bumiharjo,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,03,91,3001,30191,2,3091
SPTP TPK 2 New Makassar,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,03,96,3001,30196,2,3096
KANTOR PUSAT PT TPS,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,032,0,3201,32001,2,3201
KANTOR PUSAT PT TTL,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,033,0,3301,33001,2,3301
TTL Banjarmasin,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,033,2,3302,33002,2,3302
TTL Semarang,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,033,3,3303,33003,2,3303
TTL Perawang,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,033,4,3304,33004,2,3304
TTL Tarakan,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,033,5,3305,33005,2,3305
TTL New Makassar,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,033,6,3306,33006,2,3306
TTL Kupang,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,033,7,3307,33007,2,3307
TTL Pantoloan,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,033,8,3308,33008,2,3308
TTL Bitung,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,033,9,3309,33009,2,3309
TTL Kendari,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,033,10,3310,33010,2,3310
TTL Bagendang Bumiharjo,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,033,11,3311,33011,2,3311
TTL Ambon,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,033,12,3312,33012,2,3312
TTL Ternate,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,033,13,3313,33013,2,3313
TTL Jayapura,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,033,14,3314,33014,2,3314
TTL Sorong,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,033,15,3315,33015,2,3315
TTL Merauke,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,033,16,3316,33016,2,3316
TTL Nilam,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,033,17,3317,33017,2,3317
TTL Belawan,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,033,21,3301,33021,2,3321
TTL Bagendang,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,033,81,3301,33081,2,3381
TTL 1 New Makassar,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,033,86,3301,33086,2,3386
TTL Bumiharjo,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,033,91,3301,33091,2,3391
TTL 2 New Makassar,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,033,96,3301,33096,2,3396
KANTOR PUSAT PT LEGI,Thu Oct 10 2024 09:27:48 GMT+0700 (Western Indonesia Time),,057,0,5701,57001,2,5701
