0,1,2,3,4,5,6,7,8,9,10,11,12
37,0202.22.002.4.00001-1/00,Motor Vehicle (MV),Fri Feb 03 2023 00:00:00 GMT+0700 (Western Indonesia Time),971707740,31 Desember 2022 - 31 Desember 2023,67,storage/dokumen_polis/POLIS KBM PT PELINDO REGIONAL 4_compressed_compressed20231127112309.pdf,1,FRINS APUL SIMARMATA,Mon Nov 27 2023 11:23:09 GMT+0700 (Western Indonesia Time),,
38,0906.22.002.4.00001-1/00,Civil Engineering Complleted Risks (CECR),Tue Jan 31 2023 00:00:00 GMT+0700 (Western Indonesia Time),6123859975,31 Desember 2022 - 31 Desember 2023,67,storage/dokumen_polis/POLIS CECR PT PELINDO REGIONAL 4_compressed20231127112403.pdf,1,FRINS APUL SIMARMATA,Mon Nov 27 2023 11:24:02 GMT+0700 (Western Indonesia Time),,
39,1002.22.002.4.00001-1/00,Comprehensive General Liability (CGL),Mon Jan 30 2023 00:00:00 GMT+0700 (Western Indonesia Time),20000000,31 Desember 2022 - 31 Desember 2023,67,storage/dokumen_polis/POLIS CGL PT PELINDO REGIONAL 420231127112521.pdf,1,FRINS APUL SIMARMATA,Mon Nov 27 2023 11:25:21 GMT+0700 (Western Indonesia Time),,
40,0701.22.002.4.00001-1/00,Contractors Plant Machinery (CPM),Tue Jan 31 2023 00:00:00 GMT+0700 (Western Indonesia Time),10046990268,31 Desember 2022 - 31 Desember 2023,67,storage/dokumen_polis/POLIS CPM PT PELINDO REGIONAL 4_compressed_compressed20231127112608.pdf,1,FRINS APUL SIMARMATA,Mon Nov 27 2023 11:26:08 GMT+0700 (Western Indonesia Time),,
41,0102.22.002.4.00010-1/00,Eartquake (EQ),Wed Feb 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),249797639,31 Desember 2022 - 31 Desember 2023,67,storage/dokumen_polis/POLIS EQK PT PELINDO REGIONAL 4_compressed20231127112654.pdf,1,FRINS APUL SIMARMATA,Mon Nov 27 2023 11:26:54 GMT+0700 (Western Indonesia Time),,
46,0404.22.011.4.00001-1/00,Pretection & Indemnity (P&I),Fri Feb 03 2023 00:00:00 GMT+0700 (Western Indonesia Time),293300,31 Desember 2022 - 31 Desember 2023,67,storage/dokumen_polis/PS P&I dan Lampiran20231127113111.pdf,1,FRINS APUL SIMARMATA,Mon Nov 27 2023 11:31:11 GMT+0700 (Western Indonesia Time),,
0,0701.23.001.4.00001-8/00,Contractors Plant Machinery (CPM),Fri Feb 03 2023 00:00:00 GMT+0700 (Western Indonesia Time),10106380314,31 Desember 2022 - 31 Desember 2023,72,storage/dokumen_polis/CPM_compressed20231127094300.pdf,1,FRINS APUL SIMARMATA,Mon Nov 27 2023 09:43:01 GMT+0700 (Western Indonesia Time),,
1,0904.23.001.4.00001-8/00,Electronic Equipment Insurance (EEI),Fri Feb 03 2023 00:00:00 GMT+0700 (Western Indonesia Time),157383330,31 Desember 2022 - 31 Desember 2023,72,storage/dokumen_polis/EEI20231127094544.pdf,1,FRINS APUL SIMARMATA,Mon Nov 27 2023 09:45:45 GMT+0700 (Western Indonesia Time),,
2,0401.23.001.4.00000-2/00,Marine Hull (MH),Fri Feb 03 2023 00:00:00 GMT+0700 (Western Indonesia Time),7566736073,31 Desember 2022 - 31 Desember 2023,72,storage/dokumen_polis/MH20231127094622.pdf,1,FRINS APUL SIMARMATA,Mon Nov 27 2023 09:46:22 GMT+0700 (Western Indonesia Time),,
3,0202.23.001.4.00001-8/00,Motor Vehicle (MV),Fri Feb 03 2023 00:00:00 GMT+0700 (Western Indonesia Time),308383511,31 Desember 2022 - 31 Desember 2023,72,storage/dokumen_polis/MV_compressed20231127095119.pdf,1,FRINS APUL SIMARMATA,Mon Nov 27 2023 09:51:20 GMT+0700 (Western Indonesia Time),,
4,0103.23.001.4.00001-8/00,Property All Risks (PAR),Fri Feb 03 2023 00:00:00 GMT+0700 (Western Indonesia Time),347827712,31 Desember 2022 - 31 Desember 2023,72,storage/dokumen_polis/PAR_compressed20231127095202.pdf,1,FRINS APUL SIMARMATA,Mon Nov 27 2023 09:52:03 GMT+0700 (Western Indonesia Time),,
5,0906.23.001.4.00001-8/00,Civil Engineering Complleted Risks (CECR),Fri Feb 03 2023 00:00:00 GMT+0700 (Western Indonesia Time),3477880511,31 Desember 2022 - 31 Desember 2023,72,storage/dokumen_polis/CECR20231127095241.pdf,1,FRINS APUL SIMARMATA,Mon Nov 27 2023 09:52:42 GMT+0700 (Western Indonesia Time),,
6,1002.23.001.4.00001-8/00,Comprehensive General Liability (CGL),Fri Feb 03 2023 00:00:00 GMT+0700 (Western Indonesia Time),20000000,31 Desember 2022 - 31 Desember 2023,72,storage/dokumen_polis/CGL20231127095312.pdf,1,FRINS APUL SIMARMATA,Mon Nov 27 2023 09:53:13 GMT+0700 (Western Indonesia Time),,
