0,1,2,3
Z000,No depreciation,Thu Jun 08 2023 11:36:03 GMT+0700 (Western Indonesia Time),
ZLNR,Straight Line Method Commercial,Thu Jun 08 2023 11:36:03 GMT+0700 (Western Indonesia Time),
