KODE_PUSAT_BIAYA,NAMA_PUSAT_BIAYA,FLAG,CRAETED_DATE,UPDATE_DATE
"2010104641","Department Layanan Adm Keuangan","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010104642","Unit Pendukung Administrasi Piutang","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010104651","Department Layanan Keuangan Eksternal","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010104652","Unit Pendukung Keuangan Layanan Eksternal 1","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010104653","Unit Pendukung Keuangan Layanan Eksternal 2","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010104661","Department Layanan Keuangan Internal","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010104662","Unit Pendukung Keuangan Layanan Internal 1","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010104663","Unit Pendukung Keuangan Layanan Internal 2","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010105000","Direktorat Strategi","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010105100","Direktur Strategi","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010105111","Direktur Strategi","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010105200","Group Strategi Korporasi dan Inovasi","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010105211","Group Strategi Korporasi dan Inovasi","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010105221","Department Perencanaan Strategis","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010105231","Department Manajemen Kinerja","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010105241","Department Riset dan Inovasi","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010105300","Group Pengembangan Bisnis dan Aliansi Strategis","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010105311","Group Pengembangan Bisnis dan Aliansi Strategis","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010105321","Department Pengembangan Bisnis Terminal Petikemas dan Logistik","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
"2010105331","Department Aliansi Strategis","Y","Thu Jun 08 2023 11:35:41 GMT+0700 (Western Indonesia Time)",
